City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.95,light rain,3.0707,172.7902,Isles Sunset Lodge
3,Najran,SA,88.45,light rain,17.4924,44.1277,محمد هادي ال فطيح
4,Lompoc,US,67.93,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
9,Rikitea,PF,72.23,light rain,-23.1203,-134.9692,People ThankYou
11,Bambous Virieux,MU,70.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
12,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
18,Ponta Do Sol,PT,78.12,clear sky,32.6667,-17.1,Hotel do Campo
19,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Cravo Norte,CO,85.15,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
23,Hamilton,US,84.07,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
24,San Ramon,US,79.38,clear sky,37.7799,-121.978,San Ramon Marriott
25,Dingle,PH,77.43,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
26,Bengkulu,ID,74.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
27,Albany,US,78.58,scattered clouds,42.6001,-73.9662,
28,Amod,IN,83.03,overcast clouds,21.9833,72.9,"Aman Residency,Bhimpura."
29,Shenkursk,RU,72.9,overcast clouds,62.1091,42.896,"""Vaga"" hotel"
30,Netivot,IL,80.6,clear sky,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
32,Scarborough,GB,72.97,scattered clouds,54.2797,-0.4044,The Grand Hotel Scarborough
33,Ferrol,ES,79.59,few clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
34,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
36,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Villa Enata
38,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
42,Moa,CU,88.7,overcast clouds,20.6569,-74.9403,Carmen
45,Nagato,JP,75.34,overcast clouds,34.3833,131.2,いそう庵
47,Adre,TD,90.12,broken clouds,13.4667,22.2,
48,Half Moon Bay,US,78.87,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
49,Padang,ID,76.71,overcast clouds,-0.9492,100.3543,Mercure Padang
51,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Dwarka,IN,82.71,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
58,Cidreira,BR,69.04,overcast clouds,-30.1811,-50.2056,Hotel Castelo
59,Trabzon,TR,69.89,broken clouds,40.9167,39.8333,SANDALS HOTEL
62,Yellowknife,CA,69.67,scattered clouds,62.456,-114.3525,The Explorer Hotel
