,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.95,79,14,18.77,light rain
1,Punta Arenas,CL,-53.15,-70.9167,35.71,64,75,4.61,broken clouds
2,Ushuaia,AR,-54.8,-68.3,35.26,69,75,14.97,broken clouds
3,Najran,SA,17.4924,44.1277,88.45,26,100,8.32,light rain
4,Lompoc,US,34.6391,-120.4579,67.93,84,100,11.01,overcast clouds
5,East London,ZA,-33.0153,27.9116,61.74,94,20,5.75,light rain
6,Mataura,NZ,-46.1927,168.8643,32.49,97,50,2.37,scattered clouds
7,Busselton,AU,-33.65,115.3333,54.82,66,67,4.47,broken clouds
8,General Roca,AR,-39.0333,-67.5833,53.8,36,95,18.05,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,72.23,80,22,7.43,light rain
10,Smidovich,RU,48.6,133.8167,64.8,88,4,3.24,clear sky
11,Bambous Virieux,MU,-20.3428,57.7575,70.21,68,75,18.41,broken clouds
12,Mahebourg,MU,-20.4081,57.7,71.26,68,75,18.41,broken clouds
13,Shakhtinsk,KZ,49.71,72.5872,61.57,81,85,8.34,overcast clouds
14,Hobart,AU,-42.8794,147.3294,49.26,78,100,10.36,overcast clouds
15,Dikson,RU,73.5069,80.5464,37.92,91,100,5.17,overcast clouds
16,Puerto Colombia,CO,10.9878,-74.9547,87.89,74,100,3.4,overcast clouds
17,Karasburg,NA,-28.0167,18.75,50.65,63,98,13.62,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,78.12,61,4,3.65,clear sky
19,Kapaa,US,22.0752,-159.319,75.18,93,76,3.0,broken clouds
20,Bluff,NZ,-46.6,168.3333,32.81,79,58,11.7,broken clouds
21,Valparaiso,CL,-33.0393,-71.6273,52.48,94,100,6.91,light rain
22,Cravo Norte,CO,6.3017,-70.2041,85.15,65,83,4.43,broken clouds
23,Hamilton,US,39.1834,-84.5333,84.07,63,0,4.0,clear sky
24,San Ramon,US,37.7799,-121.978,79.38,62,0,1.01,clear sky
25,Dingle,PH,10.9995,122.6711,77.43,92,71,4.83,broken clouds
26,Bengkulu,ID,-3.8004,102.2655,74.55,89,90,4.25,overcast clouds
27,Albany,US,42.6001,-73.9662,78.58,38,30,1.01,scattered clouds
28,Amod,IN,21.9833,72.9,83.03,78,100,14.81,overcast clouds
29,Shenkursk,RU,62.1091,42.896,72.9,60,96,5.23,overcast clouds
30,Netivot,IL,31.4222,34.5886,80.6,69,0,10.58,clear sky
31,Spring Valley,US,36.108,-115.245,98.78,11,5,1.01,clear sky
32,Scarborough,GB,54.2797,-0.4044,72.97,74,34,1.99,scattered clouds
33,Ferrol,ES,43.4832,-8.2369,79.59,72,18,7.23,few clouds
34,Souillac,MU,-20.5167,57.5167,70.18,68,75,18.41,broken clouds
35,Verkhnevilyuysk,RU,63.4453,120.3167,56.61,98,100,4.12,overcast clouds
36,Atuona,PF,-9.8,-139.0333,77.54,75,50,17.67,scattered clouds
37,Svetlaya,RU,46.5389,138.3297,62.35,93,81,7.07,broken clouds
38,Mersing,MY,2.4312,103.8405,75.11,100,40,5.75,scattered clouds
39,Pozo Colorado,PY,-23.4923,-58.7972,95.95,25,68,19.22,broken clouds
40,Ilulissat,GL,69.2167,-51.1,40.3,81,58,4.52,broken clouds
41,Cape Town,ZA,-33.9258,18.4232,56.12,87,40,12.66,light rain
42,Moa,CU,20.6569,-74.9403,88.7,61,96,10.54,overcast clouds
43,Port Alfred,ZA,-33.5906,26.891,55.18,94,96,9.62,heavy intensity rain
44,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,59,75,20.71,broken clouds
45,Nagato,JP,34.3833,131.2,75.34,90,100,2.33,overcast clouds
46,Terrak,NO,65.087,12.3715,55.27,80,58,5.84,broken clouds
47,Adre,TD,13.4667,22.2,90.12,24,56,9.69,broken clouds
48,Half Moon Bay,US,37.4636,-122.4286,78.87,79,100,4.61,mist
49,Padang,ID,-0.9492,100.3543,76.71,86,100,4.38,overcast clouds
50,Kaitangata,NZ,-46.2817,169.8464,37.0,87,70,4.36,broken clouds
51,Hilo,US,19.7297,-155.09,76.28,92,100,5.75,overcast clouds
52,Kodiak,US,57.79,-152.4072,51.12,83,41,7.18,scattered clouds
53,Berezovyy,RU,51.6667,135.7,63.7,88,100,4.12,overcast clouds
54,Mercedes,AR,-34.6515,-59.4307,62.04,83,95,12.95,overcast clouds
55,Port Elizabeth,ZA,-33.918,25.5701,57.49,92,0,5.75,clear sky
56,Dwarka,IN,22.2394,68.9678,82.71,81,96,20.27,overcast clouds
57,Nome,US,64.5011,-165.4064,57.16,81,100,3.74,overcast clouds
58,Cidreira,BR,-30.1811,-50.2056,69.04,73,99,6.53,overcast clouds
59,Trabzon,TR,40.9167,39.8333,69.89,78,75,3.44,broken clouds
60,Ahipara,NZ,-35.1667,173.1667,55.67,86,100,5.19,overcast clouds
61,Nelson Bay,AU,-32.7167,152.15,54.1,93,89,8.01,light rain
62,Yellowknife,CA,62.456,-114.3525,69.67,58,50,3.47,scattered clouds
63,Chabahar,IR,25.2919,60.643,84.56,81,100,9.06,overcast clouds
64,Upernavik,GL,72.7868,-56.1549,39.6,83,26,2.77,scattered clouds
65,Yilan,TW,24.757,121.753,85.91,88,37,1.9,scattered clouds
66,Georgetown,MY,5.4112,100.3354,85.89,84,20,2.3,few clouds
67,Nyamati,IN,14.15,75.5833,70.12,92,100,11.77,moderate rain
68,Chokurdakh,RU,70.6333,147.9167,56.68,57,100,10.0,overcast clouds
69,Hashtrud,IR,37.4779,47.0508,77.23,31,0,5.46,clear sky
70,Castro,BR,-24.7911,-50.0119,71.17,50,97,10.38,overcast clouds
71,Tiksi,RU,71.6872,128.8694,54.63,58,7,4.32,clear sky
72,Klaksvik,FO,62.2266,-6.589,52.72,92,69,18.77,broken clouds
73,Vanimo,PG,-2.6741,141.3028,76.87,89,100,3.94,overcast clouds
74,Saint Anthony,US,45.0205,-93.218,83.03,70,61,3.0,broken clouds
75,Voh,NC,-20.9667,164.7,72.64,90,22,4.7,few clouds
76,Avarua,CK,-21.2078,-159.775,71.65,60,100,2.3,overcast clouds
77,Quthing,LS,-30.4,27.7003,47.62,87,93,10.38,moderate rain
78,Ranong,TH,9.9658,98.6348,79.43,86,100,13.31,overcast clouds
79,Hermanus,ZA,-34.4187,19.2345,52.81,76,100,5.41,overcast clouds
80,Saskylakh,RU,71.9167,114.0833,47.37,81,100,11.25,light rain
81,Ginda,IN,30.6945,78.4932,68.16,84,98,2.37,overcast clouds
82,Lavrentiya,RU,65.5833,-171.0,47.3,88,100,5.64,overcast clouds
83,New Norfolk,AU,-42.7826,147.0587,48.92,80,100,3.06,overcast clouds
84,Beira,MZ,-19.8436,34.8389,68.09,94,20,6.91,few clouds
85,Codrington,AU,-38.2667,141.9667,46.89,73,92,14.54,overcast clouds
86,Smithers,CA,54.7804,-127.1743,53.71,90,100,3.94,light rain
87,Husavik,IS,66.0449,-17.3389,54.36,82,97,5.73,moderate rain
88,Vanavara,RU,60.34,102.2797,60.15,85,86,4.18,light rain
89,Kalispell,US,48.1958,-114.3129,72.32,45,40,8.99,scattered clouds
90,Laguna,US,38.421,-121.4238,86.97,54,0,3.44,clear sky
91,Faya,SA,18.3851,42.4509,66.63,56,99,8.08,light rain
